_	Id	CreatedDate	Type__c	IdAgent__c	EntreeClients__c	MessageErreur__c	DureeAppelAPI__c	NbClientsEntree__c	NbContactsSortie__c	CodePosteMetier__c		recordtypeId
[GOCC_MuleAPI_Log__c]	a01AP00000OW9YbYAL	2024-07-18T15:23:10.000+0000	LoadTime	63140			38			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX54kYAD	2024-07-18T16:25:20.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX7o6YAD	2024-07-18T17:17:21.000+0000	ApiCall		CE16275079585147		27	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX8CJYA1	2024-07-18T16:25:20.000+0000	ApiCall		CE16275079585147		14	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX8fJYAT	2024-07-18T16:20:02.000+0000	LoadTime				32			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX9ExYAL	2024-07-18T17:31:17.000+0000	LoadTime				22			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX9oIYAT	2024-07-18T17:27:31.000+0000	ApiCall		CE16275079585147		14	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OX9oJYAT	2024-07-18T17:28:07.000+0000	ApiCall		CE16275079585147		15	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OYJ5fYAH	2024-07-18T17:16:36.000+0000	LoadTime				10			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OYW1HYAX	2024-07-18T18:21:47.000+0000	ApiCall		CE16275079585147		16	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OYgGlYAL	2024-07-18T17:16:37.000+0000	ApiCall		CE16275079585147		24	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OYmpCYAT	2024-07-18T17:31:17.000+0000	ApiCall		CE16275079585147		17	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OYrqTYAT	2024-07-18T17:07:09.000+0000	ApiCall		CE16275079585147		17	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZb0UYAT	2024-07-18T17:27:31.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZcqzYAD	2024-07-18T17:28:07.000+0000	LoadTime				14			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZeeHYAT	2024-07-18T17:29:28.000+0000	LoadTime				21			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZeftYAD	2024-07-18T17:29:28.000+0000	ApiCall		CE16275079585147		16	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZepZYAT	2024-07-18T17:30:43.000+0000	ApiCall		CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZfNSYA1	2024-07-18T18:21:47.000+0000	LoadTime				35			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZg0AYAT	2024-07-18T18:18:39.000+0000	ApiCall		CE16275079585147		14	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZgWRYA1	2024-07-18T18:18:08.000+0000	LoadTime				17			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZgt0YAD	2024-07-18T18:28:28.000+0000	ApiCall		CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZhPGYA1	2024-07-18T18:18:20.000+0000	LoadTime				20			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZitBYAT	2024-07-18T18:15:53.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZiunYAD	2024-07-18T18:15:53.000+0000	ApiCall		CE16275079585147		21	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZl1RYAT	2024-07-18T18:16:35.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZn1dYAD	2024-07-18T18:17:04.000+0000	ApiCall		CE16275079585147		19	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZnfxYAD	2024-07-18T18:17:16.000+0000	LoadTime				17			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZqHFYA1	2024-07-18T18:17:58.000+0000	ApiCall		CE16275079585147		45	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZr3dYAD	2024-07-18T18:18:09.000+0000	ApiCall		CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZrurYAD	2024-07-18T18:18:20.000+0000	ApiCall		CE16275079585147		18	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZsu9YAD	2024-07-18T18:18:39.000+0000	LoadTime				25			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OZvQdYAL	2024-07-18T20:32:22.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000Oa87iYAB	2024-07-18T18:25:59.000+0000	ApiCall		CE16275079585147		14	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaByPYAV	2024-07-18T18:24:02.000+0000	LoadTime				19			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaC3FYAV	2024-07-18T18:24:02.000+0000	ApiCall		CE16275079585147		19	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaI73YAF	2024-07-18T18:25:58.000+0000	LoadTime				17			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaNzaYAF	2024-07-18T18:28:28.000+0000	LoadTime				10			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaR3uYAF	2024-07-18T18:31:44.000+0000	ApiCall		CE16275079585147		16	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OaU4zYAF	2024-07-18T18:29:22.000+0000	LoadTime				19			RoleTest		012AP0000022BPdYAM
